Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
278,tt1650043,2023-11-14,2023-11-14,,"Diário de um Banana 2: Rodrick é o Cara","Diary of a Wimpy Kid: Rodrick Rules",https://www.imdb.com/title/tt1650043/,Filme,6.7,100,2011,"Comédia, Família",43960,2011-09-16,"David Bowers",7,2023-11-14
279,tt2023453,2023-11-14,2023-11-14,,"Diário de um Banana 3: Dias de Cão","Diary of a Wimpy Kid: Dog Days",https://www.imdb.com/title/tt2023453/,Filme,6.3,94,2012,"Comédia, Família",35092,2012-08-03,"David Bowers",7,2023-11-14
280,tt1285016,2023-11-14,2023-11-14,,"A Rede Social","The Social Network",https://www.imdb.com/title/tt1285016/,Filme,7.8,120,2010,"Biografia, Drama",825673,2010-12-03,"David Fincher",8,2023-11-14
281,tt1727824,2023-11-14,2023-11-14,,"Bohemian Rhapsody","Bohemian Rhapsody",https://www.imdb.com/title/tt1727824/,Filme,7.9,134,2018,"Biografia, Drama, Musical",652020,2018-11-01,"Bryan Singer",8,2023-11-14
282,tt2066051,2023-11-14,2023-11-14,,"Rocketman","Rocketman",https://www.imdb.com/title/tt2066051/,Filme,7.3,121,2019,"Biografia, Drama, Musical, Musical",211139,2019-05-30,"Dexter Fletcher",7,2023-11-14
283,tt1392170,2023-11-14,2023-11-14,,"Jogos Vorazes","The Hunger Games",https://www.imdb.com/title/tt1392170/,Filme,7.2,142,2012,"Ação, Aventura, Ficção científica, Suspense",1090145,2012-03-23,"Gary Ross",7,2023-11-14
284,tt1670345,2023-11-14,2023-11-14,,"Truque de Mestre","Now You See Me",https://www.imdb.com/title/tt1670345/,Filme,7.2,115,2013,"Policial, Mistério, Suspense",775908,2013-07-05,"Louis Leterrier",6,2023-11-14
285,tt0448157,2023-11-14,2023-11-14,,"Hancock","Hancock",https://www.imdb.com/title/tt0448157/,Filme,6.4,92,2008,"Ação, Comédia, Drama, Fantasia",542154,2008-07-04,"Peter Berg",6,2023-11-14
286,tt0116629,2023-11-14,2023-11-14,,"Independence Day","Independence Day",https://www.imdb.com/title/tt0116629/,Filme,7.0,145,1996,"Ação, Aventura, Ficção científica",652963,1996-08-01,"Roland Emmerich",8,2023-11-14
287,tt0120591,2023-11-14,2023-11-14,,"Armageddon","Armageddon",https://www.imdb.com/title/tt0120591/,Filme,6.7,151,1998,"Ação, Aventura, Ficção científica, Suspense",482314,1998-08-07,"Michael Bay",8,2023-11-14
